1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
197: A=Stratton-Porter, Gene | B=Freckles | C=SCHOOL DAYS (ages 7–12) | D=2.0
198: A=Stratton-Porter, Gene | B=A Girl of the Limberlost | C=SCHOOL DAYS (ages 7–12) | D=2.0
199: A=Stratton-Porter, Gene | B=The Harvester | C=SCHOOL DAYS (ages 7–12) | D=2.0
200: A=Stratton-Porter, Gene | B=Her Father's Daughter | C=SCHOOL DAYS (ages 7–12) | D=2.0
201: A=Stratton-Porter, Gene | B=The Magic Garden | C=SCHOOL DAYS (ages 7–12) | D=2.0
202: A=Stratton-Porter, Gene | B=Michael O'Halloran | C=SCHOOL DAYS (ages 7–12) | D=2.0
203: A=Tarkington, Booth | B=Penrod, and others in the series | C=SCHOOL DAYS (ages 7–12) | D=2.0
204: A='Til Eulenspiegel (translated by Mackenzie) | B=98 | D=2.0
205: A=Twain, Mark | B=Huckleberry Finn | C=SCHOOL DAYS (ages 7–12) | D=2.0
206: A=Twain, Mark | B=The Prince and the Pauper | C=SCHOOL DAYS (ages 7–12) | D=2.0
207: A=Twain, Mark | B=Tom Sawyer | C=SCHOOL DAYS (ages 7–12) | D=2.0
208: A=Verne, Jules | B=20,000 Leagues Under the Sea | C=SCHOOL DAYS (ages 7–12) | D=2.0
209: A=Verne, Jules | B=800 Leagues on the Amazon | C=SCHOOL DAYS (ages 7–12) | D=2.0
210: A=Verne, Jules | B=Around the World in 80 Days | C=SCHOOL DAYS (ages 7–12) | D=2.0
211: A=Verne, Jules | B=Caesar Cascabel | C=SCHOOL DAYS (ages 7–12) | D=2.0
212: A=Verne, Jules | B=From the Earth to the Moon | C=SCHOOL DAYS (ages 7–12) | D=2.0
213: A=Verne, Jules | B=Hector Servadac | C=SCHOOL DAYS (ages 7–12) | D=2.0
214: A=Verne, Jules | B=Journey into the Interior of the Earth | C=SCHOOL DAYS (ages 7–12) | D=2.0
215: A=Verne, Jules | B=The Lighthouse at the End of the World | C=SCHOOL DAYS (ages 7–12) | D=2.0
216: A=Verne, Jules | B=Mysterious Island | C=SCHOOL DAYS (ages 7–12) | D=2.0
217: A=Verne, Jules | B=On the Track | C=SCHOOL DAYS (ages 7–12) | D=2.0
218: A=Verne, Jules | B=Voyages and Adventures of Captain Hatteras | C=SCHOOL DAYS (ages 7–12) | D=2.0
219: A=Wilder, Laura Ingalls | B=Little House in the Big Woods | C=SCHOOL DAYS (ages 7–12) | D=2.0
220: A=Wilder, Laura Ingalls | B=Little House on the Prairie | C=SCHOOL DAYS (ages 7–12) | D=2.0
221: A=Wilder, Laura Ingalls | B=Farmer Boy | C=SCHOOL DAYS (ages 7–12) | D=2.0
222: A=Wilder, Laura Ingalls | B=On the Banks of Plum Creek | C=SCHOOL DAYS (ages 7–12) | D=2.0
223: A=Wilder, Laura Ingalls | B=By the Shores of Silver Lake | C=SCHOOL DAYS (ages 7–12) | D=2.0
224: A=Wilder, Laura Ingalls | B=The Long Winter | C=SCHOOL DAYS (ages 7–12) | D=2.0
225: A=Wilder, Laura Ingalls | B=Little Town on the Prairie | C=SCHOOL DAYS (ages 7–12) | D=2.0
226: A=Wilder, Laura Ingalls | B=These Happy Golden Years | C=SCHOOL DAYS (ages 7–12) | D=2.0
227: A=Wister, Owen | B=Indispensable Information for Infants | C=SCHOOL DAYS (ages 7–12) | D=2.0
228: A=Wyss, Johann | B=Swiss Family Robinson | C=SCHOOL DAYS (ages 7–12) | D=2.0
229: A=Wyss, Johann | B=Willis the Pilot | C=SCHOOL DAYS (ages 7–12) | D=2.0
230: A=Andersen, Hans Christian | B=Pictures of Travel in Sweden, Among the Hartz Mountains, and in Switzerland | C=ADOLESCENCE (ages 12–16) | D=3.0
231: A=Brontë, Charlotte | B=Jane Eyre | C=ADOLESCENCE (ages 12–16) | D=3.0
232: A=Brontë, Charlotte | B=Wuthering Heights | C=ADOLESCENCE (ages 12–16) | D=3.0
233: A=Collins, Wilkie | B=After Dark | C=ADOLESCENCE (ages 12–16) | D=3.0
234: A=Collins, Wilkie | B=Antonia | C=ADOLESCENCE (ages 12–16) | D=3.0
235: A=Collins, Wilkie | B=Armadale | C=ADOLESCENCE (ages 12–16) | D=3.0
236: A=Collins, Wilkie | B=Basil | C=ADOLESCENCE (ages 12–16) | D=3.0
237: A=Collins, Wilkie | B=The Black Robe | C=ADOLESCENCE (ages 12–16) | D=3.0
238: A=Collins, Wilkie | B=Blind Love | C=ADOLESCENCE (ages 12–16) | D=3.0
239: A=Collins, Wilkie | B="Blow Up With The Brig!" | C=ADOLESCENCE (ages 12–16) | D=3.0
240: A=Collins, Wilkie | B=The Dead Alive | C=ADOLESCENCE (ages 12–16) | D=3.0
241: A=Collins, Wilkie | B=The Dead Secret | C=ADOLESCENCE (ages 12–16) | D=3.0
242: A=Collins, Wilkie | B=The Evil Genius | C=ADOLESCENCE (ages 12–16) | D=3.0
243: A=Collins, Wilkie | B=The Fallen Leaves | C=ADOLESCENCE (ages 12–16) | D=3.0
244: A=Collins, Wilkie | B=The Fatal Cradle | C=ADOLESCENCE (ages 12–16) | D=3.0
245: A=Collins, Wilkie | B=Fatal Fortune | C=ADOLESCENCE (ages 12–16) | D=3.0
246: A=Collins, Wilkie | B=The Frozen Deep | C=ADOLESCENCE (ages 12–16) | D=3.0
247: A=Collins, Wilkie | B=The Haunted Hotel | C=ADOLESCENCE (ages 12–16) | D=3.0
248: A=Collins, Wilkie | B=Heart and Science | C=ADOLESCENCE (ages 12–16) | D=3.0
249: A=Collins, Wilkie | B=Hide and Seek | C=ADOLESCENCE (ages 12–16) | D=3.0
250: A=Collins, Wilkie | B="I say no" | C=ADOLESCENCE (ages 12–16) | D=3.0
